sample,Sample_Sum,Run,irrigation,Rotation,season
T141014_S20,24300000,SRR18309686,N,CR,pre-planting
T142023_S23,13000000,SRR18309685,Y,CR,pre-planting
T142061_S25,27300000,SRR18309674,N,CR,pre-planting
T142062_S26,57600000,SRR18309663,N,CR,pre-planting
T142063_S27,37600000,SRR18309652,Y,CR,pre-planting
T142064_S28,49300000,SRR18309641,Y,CR,pre-planting
T143012_S30,54600000,SRR18309630,Y,SBR,pre-planting
T143014_S32,17600000,SRR18309619,N,SBR,pre-planting
T143034_S36,11100000,SRR18309616,N,SBR,pre-planting
T143051_S37,53400000,SRR18309615,Y,SBR,pre-planting
T143052_S38,11000000,SRR18309684,Y,SBR,pre-planting
T143054_S40,12400000,SRR18309683,N,SBR,pre-planting
T151012_S42,35500000,SRR18309682,Y,CR,flowering
T151014_S44,40700000,SRR18309681,N,CR,flowering
T152022_S46,73200000,SRR18309680,N,CR,flowering
T152024_S48,26900000,SRR18309679,Y,CR,flowering
T152062_S50,174000000,SRR18309678,N,CR,flowering
T152064_S52,56900000,SRR18309677,Y,CR,flowering
T153012_S54,35800000,SRR18309676,Y,SBR,flowering
T153014_S88,12900000,SRR18309675,N,SBR,flowering
T153032_S57,31900000,SRR18309673,Y,SBR,flowering
T153052_S61,48600000,SRR18309672,Y,SBR,flowering
T153053_S62,92900000,SRR18309671,N,SBR,flowering
T153054_S63,32500000,SRR18309670,N,SBR,flowering
T161012_S65,358000000,SRR18309669,Y,CR,maturity
T161014_S67,245000000,SRR18309668,N,CR,maturity
T162022_S69,491000000,SRR18309667,N,CR,maturity
T162024_S71,45300000,SRR18309666,Y,CR,maturity
T162062_S73,139000000,SRR18309665,N,CR,maturity
T162064_S75,267000000,SRR18309664,Y,CR,maturity
T163012_S77,162000000,SRR18309662,Y,SBR,maturity
T163014_S79,102000000,SRR18309661,N,SBR,maturity
T163032_S81,132000000,SRR18309660,Y,SBR,maturity
T163034_S83,350000000,SRR18309659,N,SBR,maturity
T163052_S85,250000000,SRR18309658,Y,SBR,maturity
T163054_S87,153000000,SRR18309657,N,SBR,maturity
